Virus,MOI,PercI
T3D,0.1,0.0024
T3D,0.316,0.0138
T3D,1,0.0467
T3D,3.16,0.104
T3D,10,0.262
T3D,31.6,0.541
T3D,100,0.798
T3D,0.1,0.0025
T3D,0.316,0.0156
T3D,1,0.0278
T3D,3.16,0.1
T3D,10,0.242
T3D,31.6,0.543
T3D,100,0.792
T3D,0.1,0.0047
T3D,0.316,0.0199
T3D,1,0.0264
T3D,3.16,0.148
T3D,10,0.358
T3D,31.6,0.603
T3D,100,0.85
T3DS208P,0.1,0.0022
T3DS208P,0.316,0.0062
T3DS208P,1,0.0139
T3DS208P,3.16,0.0536
T3DS208P,10,0.144
T3DS208P,31.6,0.304
T3DS208P,100,0.45
T3DS208P,0.1,0.0016
T3DS208P,0.316,0.0055
T3DS208P,1,0.013
T3DS208P,3.16,0.0521
T3DS208P,10,0.102
T3DS208P,31.6,
T3DS208P,100,0.3905
T3DS208P,0.1,0.0014
T3DS208P,0.316,0.0058
T3DS208P,1,0.0193
T3DS208P,3.16,0.0643
T3DS208P,10,0.09
T3DS208P,31.6,
T3DS208P,100,0.331
T1L,0.1,0.0035
T1L,0.316,0.0078
T1L,1,0.0249
T1L,3.16,0.0658
T1L,10,0.169
T1L,31.6,0.341
T1L,100,0.621
T1L,316,0.836
T1L,0.1,0.0036
T1L,0.316,0.0089
T1L,1,0.0263
T1L,3.16,0.0697
T1L,10,0.17
T1L,31.6,0.337
T1L,100,0.632
T1L,316,0.831
T1L,0.1,0.0033
T1L,0.316,0.0108
T1L,1,0.0258
T1L,3.16,0.0703
T1L,10,0.181
T1L,31.6,0.353
T1L,100,0.638
T1L,316,0.838
T1LP208S,0.1,0.0037
T1LP208S,0.316,0.011
T1LP208S,1,0.0282
T1LP208S,3.16,0.0741
T1LP208S,10,0.207
T1LP208S,31.6,0.377
T1LP208S,100,0.634
T1LP208S,316,0.85
T1LP208S,0.1,0.0039
T1LP208S,0.316,0.0111
T1LP208S,1,0.027
T1LP208S,3.16,0.0687
T1LP208S,10,0.196
T1LP208S,31.6,0.352
T1LP208S,100,0.616
T1LP208S,316,0.818
T1LP208S,0.1,0.0031
T1LP208S,0.316,0.0105
T1LP208S,1,0.0283
T1LP208S,3.16,0.0675
T1LP208S,10,0.184
T1LP208S,31.6,0.337
T1LP208S,100,0.627
T1LP208S,316,0.814
